MediaWedge3_Subset
ORIGINATOR "Fogra, www.fogra.org"
DESCRIPTOR "FOGRA45_MW3_Subset"
CREATED    "March 2009"
INSTRUMENTATION  "D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655"
PRINT_CONDITIONS "Offset printing, based on ISO 12647-2:2004, OFCOM, paper type LWC Improved, tone value increase curves B (CMY) and C (K)"
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 72
BEGIN_DATA
1	100	0	0	0	57	-37	-46
2	70	0	0	0	66.36	-26.65	-34.68
3	40	0	0	0	77.62	-15.29	-20.79
4	20	0	0	0	84.96	-7.59	-11.5
5	10	0	0	0	88.59	-4.11	-6.94
6	0	100	0	0	48	73	-6
7	0	70	0	0	58.96	52.28	-8.39
8	0	40	0	0	73.23	28.15	-7.3
9	0	20	0	0	82.8	13.45	-5.39
10	0	10	0	0	87.41	6.71	-4.04
11	0	0	100	0	86	-2	89
12	0	0	70	0	87.52	-3.15	62.21
13	0	0	40	0	89.61	-2.88	33.16
14	0	0	20	0	90.88	-1.93	14.85
15	0	0	10	0	91.54	-1.19	6.46
16	0	0	0	10	85.59	0.09	-1.64
17	0	0	0	20	79.13	0.18	-1.29
18	0	0	0	40	65.66	0.37	-0.54
19	0	0	0	60	51.24	0.57	0.26
20	0	0	0	80	35.92	0.78	1.12
21	0	0	0	100	20	1	2
22	0	100	0	100	12.54	18.17	0.94
23	0	70	70	60	32.38	25.9	21.35
24	0	0	70	80	34.56	-2.1	23.67
25	100	100	0	0	28	16	-46
26	70	70	0	0	40.51	17.13	-37.9
27	40	40	0	0	61.06	10.61	-24.58
28	20	20	0	0	76.36	4.97	-14.02
29	10	10	0	0	84.09	2.49	-8.49
30	0	100	100	0	48	66	44
31	0	70	70	0	57.29	48.01	38.44
32	0	40	40	0	71.54	25.11	22.58
33	0	20	20	0	81.86	11.48	10.13
34	0	10	10	0	86.94	5.57	3.98
35	100	0	100	0	50	-59	26
36	70	0	70	0	61.11	-39.22	23.71
37	40	0	40	0	74.62	-20.88	13.1
38	20	0	20	0	83.49	-10.19	5.02
39	10	0	10	0	87.9	-5.26	1.37
40	10	6	6	0	85.53	-0.87	-3.04
41	20	12	12	0	79.12	-1.75	-3.71
42	40	27	27	0	65.06	-2.33	-3.05
43	60	45	45	0	50.41	-3.12	-1.77
44	80	65	65	0	37.93	-4.05	-1.69
45	100	85	85	0	29.01	-8.51	-3.26
46	100	0	0	100	14.08	-10.31	-9.99
47	20	100	70	60	24.7	31.11	11.98
48	70	0	70	80	25.2	-18.02	8.61
49	100	100	100	0	27	-4	-2
50	70	70	70	0	38.53	5.55	4.43
51	40	40	40	0	58.96	4.93	5.08
52	20	20	20	0	75.25	2.62	1.13
53	10	10	10	0	83.56	1.27	-0.52
54	20	70	70	0	51.82	36.95	28.81
55	40	70	70	20	40.39	21.3	16.28
56	40	100	100	20	33.01	35.3	19.93
57	40	100	40	20	32.99	39.65	-2.98
58	40	40	100	20	49.02	2.01	39.45
59	100	40	100	20	34.71	-31.91	10.23
60	100	40	40	20	36.09	-24.31	-17.55
61	100	100	40	20	23.82	3.67	-22.37
62	10	40	40	0	68.39	20.13	18.01
63	0	40	100	0	68.91	25.2	68.83
64	0	100	40	0	48.11	69.17	15.91
65	40	100	0	0	38.69	51.22	-25.13
66	40	0	100	0	70.71	-22.15	62.91
67	100	0	40	0	53.49	-51.6	-13.95
68	100	40	0	0	44.15	-14.67	-46.85
69	0	0	0	0	92	0	-2
70	0	0	100	100	20.87	-2.57	15.56
71	0	70	0	60	32.44	29.91	-5.43
72	70	0	0	80	25.6	-12.26	-13.57
END_DATA
