Group,Name of preset,Include as default [yes/no],Comments,Key
CR30 (ChnSpec),CR30 · Letter-396p-1page-Portrait-w11.0mm-Hexagonal-Straight · Full layout setup,no,,__chromiq_knut_cr30_letter_396p_1page_portrait_w11_0mm_hexagonal_straight__
CR30 (ChnSpec),CR30 · Letter-736p-2pages-Portrait-w11.0mm · Full layout setup,yes,,__chromiq_knut_cr30_letter_736p_2pages_portrait_w11_0mm__
CR30 (ChnSpec),CR30 · Letter-780p-2pages-Portrait-w11.0mm-Hexagonal · Full layout setup,no,,__chromiq_knut_cr30_letter_780p_2pages_portrait_w11_0mm_hexagonal__
CR30 (ChnSpec),CR30 · Letter-792p-2pages-Portrait-w11.0mm-Hexagonal-Straight · Full layout setup,no,,__chromiq_knut_cr30_letter_792p_2pages_portrait_w11_0mm_hexagonal_straight__
CR30 (ChnSpec),CR30 · Letter-1104p-3pages-Portrait-w11.0mm · Full layout setup,yes,,__chromiq_knut_cr30_letter_1104p_3pages_portrait_w11_0mm__
CR30 (ChnSpec),CR30 · Letter-1170p-3pages-Portrait-w11.0mm-Hexagonal · Full layout setup,no,,__chromiq_knut_cr30_letter_1170p_3pages_portrait_w11_0mm_hexagonal__
CR30 (ChnSpec),CR30 · Letter-1188p-3pages-Portrait-w11.0mm-Hexagonal-Straight · Full layout setup,no,,__chromiq_knut_cr30_letter_1188p_3pages_portrait_w11_0mm_hexagonal_straight__
Scanner,Scanner · A4-3430p-1page-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_a4_3430p_1page_landscape__
Scanner,Scanner · A4-6860p-2pages-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_a4_6860p_2pages_landscape__
Scanner,Scanner · A4-10290p-3pages-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_a4_10290p_3pages_landscape__
Scanner,Scanner · Letter-3250p-1page-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_letter_3250p_1page_landscape__
Scanner,Scanner · Letter-6500p-2pages-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_letter_6500p_2pages_landscape__
Scanner,Scanner · Letter-9750p-3pages-Landscape-w4.0mm · Profile printer with scanner · Full layout setup,yes,,__chromiq_knut_scanner_letter_9750p_3pages_landscape__
Red River Paper,Red River Paper · i1Pro · A4-2052p-4pages · Standard Patch Set v25,yes,,__chromiq_knut_redriver_i1pro_a4_2052p_4pages__
Red River Paper,Red River Paper · ColorMunki · A4-2052p-8pages · Standard Patch Set v25,no,,__chromiq_knut_redriver_colormunki_a4_2052p_8pages__
Red River Paper,Red River Paper · ColorMunki · A4-2052p-9pages · Standard Patch Set v25,no,,__chromiq_knut_redriver_colormunki_a4_2052p_9pages__
Red River Paper,Red River Paper · i1Pro · Letter-2052p-4pages · Standard Patch Set v25,yes,,__chromiq_knut_redriver_i1pro_letter_2052p_4pages__
Red River Paper,Red River Paper · ColorMunki · Letter-2052p-8pages · Standard Patch Set v25,no,,__chromiq_knut_redriver_colormunki_letter_2052p_8pages__
Red River Paper,Red River Paper · ColorMunki · Letter-2052p-9pages · Standard Patch Set v25,no,,__chromiq_knut_redriver_colormunki_letter_2052p_9pages__
